address,mac,ssid,latitude,longitude,geocoded_address
1095 Avenue of the Americas New York NY,AA:BB:CC:DD:EE:1B,Verizon_0,40.75466,-73.984732,"1095 Sixth Avenue, New York, New York 10036, United States"
600 New Jersey Ave NW Washington DC,AA:BB:CC:DD:EE:1C,Sprint_0,38.89784,-77.0126,"600 New Jersey Avenue Northwest, Washington, District of Columbia 20001, United States"
6200 Sprint Pkwy Overland Park KS,AA:BB:CC:DD:EE:1D,SprintHQ_0,38.915579,-94.658709,"6200 Sprint Pkwy, Overland Park, Kansas 66211, United States"
1 Coca Cola Plaza Atlanta GA,AA:BB:CC:DD:EE:1E,CocaCola_0,33.771079,-84.396874,"1 Coca Cola Plz NW, Atlanta, Georgia 30313, United States"
1 Pepsi Way Purchase NY,AA:BB:CC:DD:EE:1F,Pepsi_0,41.511772,-74.052587,"1 Pepsi Way, Newburgh, New York 12550, United States"
1 Dr Pepper Way Plano TX,AA:BB:CC:DD:EE:20,DrPepper_0,33.019677,-96.699236,"Plano, Texas, United States"
1 Monster Way Corona CA,AA:BB:CC:DD:EE:21,Monster_0,33.886641,-117.513232,"1 Monster Way, Corona, California 92879, United States"
1 Red Bull Way Santa Monica CA,AA:BB:CC:DD:EE:22,RedBull_0,37.754446,-121.371036,"Banta, California, United States"
1 Starbucks Way Seattle WA,AA:BB:CC:DD:EE:23,Starbucks_0,46.519321,-118.12762,"Starbuck, Washington, United States"
1 Dunkin Way Canton MA,AA:BB:CC:DD:EE:24,Dunkin_0,44.023054,-70.657049,"1 Dunkin Way, Bridgton, Maine 04009, United States"
1 McDonalds Plaza Oak Brook IL,AA:BB:CC:DD:EE:25,McDonalds_0,41.832871,-87.928694,"Oak Brook, Illinois, United States"
1 Burger King Way Miami FL,AA:BB:CC:DD:EE:26,BurgerKing_0,25.773357,-80.1919,"Miami, Florida, United States"
1 Wendys Way Dublin OH,AA:BB:CC:DD:EE:27,Wendys_0,39.642213,-84.237621,"1 Wendy Way, West Carrollton, Ohio 45449, United States"
1 Taco Bell Way Irvine CA,AA:BB:CC:DD:EE:28,TacoBell_0,33.684617,-117.82634,"Irvine, California, United States"
1 KFC Way Louisville KY,AA:BB:CC:DD:EE:29,KFC_0,38.253246,-85.758804,"Louisville, Kentucky, United States"
1 Pizza Hut Way Plano TX,AA:BB:CC:DD:EE:2A,PizzaHut_0,33.019677,-96.699236,"Plano, Texas, United States"
1 Dominos Way Ann Arbor MI,AA:BB:CC:DD:EE:2B,Dominos_0,42.281424,-83.748499,"Ann Arbor, Michigan, United States"
1 Papa Johns Way Louisville KY,AA:BB:CC:DD:EE:2C,PapaJohns_0,38.253246,-85.758804,"Louisville, Kentucky, United States"
1 Subway Way Milford CT,AA:BB:CC:DD:EE:2D,Subway_0,41.222399,-73.056719,"Milford, Connecticut, United States"
1 Chipotle Way Newport Beach CA,AA:BB:CC:DD:EE:2E,Chipotle_0,33.617991,-117.930145,"Newport Beach, California, United States"
1 Panera Way St Louis MO,AA:BB:CC:DD:EE:2F,Panera_0,38.627464,-90.19835,"St. Louis, Missouri, United States"
1 Chick-fil-A Way Atlanta GA,AA:BB:CC:DD:EE:30,ChickfilA_0,33.750801,-84.389855,"Atlanta, Georgia, United States"
1 In-N-Out Way Irvine CA,AA:BB:CC:DD:EE:31,InNOut_0,33.684617,-117.82634,"Irvine, California, United States"
1 Five Guys Way Lorton VA,AA:BB:CC:DD:EE:32,FiveGuys_0,38.704564,-77.219518,"Lorton, Virginia, United States"
1 Shake Shack Way New York NY,AA:BB:CC:DD:EE:33,ShakeShack_0,40.712749,-74.005994,"New York, New York, United States"
1 White Castle Way Columbus OH,AA:BB:CC:DD:EE:34,WhiteCastle_0,39.962232,-83.000642,"Columbus, Ohio, United States"
1 Sonic Way Oklahoma City OK,AA:BB:CC:DD:EE:35,Sonic_0,35.46883,-97.517981,"Oklahoma City, Oklahoma, United States"
1 Arbys Way Atlanta GA,AA:BB:CC:DD:EE:36,Arbys_0,33.750801,-84.389855,"Atlanta, Georgia, United States"
1 Jack in the Box Way San Diego CA,AA:BB:CC:DD:EE:37,JackBox_0,32.713623,-117.16016,"San Diego, California, United States"
1 Carl's Jr Way Anaheim CA,AA:BB:CC:DD:EE:38,CarlsJr_0,33.833337,-117.913192,"Anaheim, California, United States"
1 Hardees Way Rocky Mount NC,AA:BB:CC:DD:EE:39,Hardees_0,35.939026,-77.800244,"Rocky Mount, North Carolina, United States"
1 Popeyes Way Miami FL,AA:BB:CC:DD:EE:3A,Popeyes_0,25.773357,-80.1919,"Miami, Florida, United States"
1 Bojangles Way Charlotte NC,AA:BB:CC:DD:EE:3B,Bojangles_0,35.227207,-80.84309,"Charlotte, North Carolina, United States"
1 Zaxbys Way Athens GA,AA:BB:CC:DD:EE:3C,Zaxbys_0,33.87319,-83.47376,"Way, Watkinsville, Georgia 30677, United States"
1 Raising Canes Way Baton Rouge LA,AA:BB:CC:DD:EE:3D,RaisingCanes_0,30.447224,-91.186948,"Baton Rouge, Louisiana, United States"
1 Wingstop Way Dallas TX,AA:BB:CC:DD:EE:3E,Wingstop_0,32.781339,-96.799759,"Dallas, Texas, United States"
1 Buffalo Wild Wings Way Minneapolis MN,AA:BB:CC:DD:EE:3F,BWW_0,44.976106,-93.266096,"Minneapolis, Minnesota, United States"
1 Hooters Way Clearwater FL,AA:BB:CC:DD:EE:40,Hooters_0,27.962345,-82.801662,"Clearwater, Florida, United States"
1 Twin Peaks Way Dallas TX,AA:BB:CC:DD:EE:41,TwinPeaks_0,32.781339,-96.799759,"Dallas, Texas, United States"
1 Tilted Kilt Way Tempe AZ,AA:BB:CC:DD:EE:42,TiltedKilt_0,33.425508,-111.939965,"Tempe, Arizona, United States"
1 Applebees Way Glendale CA,AA:BB:CC:DD:EE:43,Applebees_0,34.146288,-118.254947,"Glendale, California, United States"
1 Chilis Way Dallas TX,AA:BB:CC:DD:EE:44,Chilis_0,32.781339,-96.799759,"Dallas, Texas, United States"
1 TGI Fridays Way Dallas TX,AA:BB:CC:DD:EE:45,Fridays_0,32.923282,-96.750161,"Ti Boulevard, Dallas, Texas 75243, United States"
1 Olive Garden Way Orlando FL,AA:BB:CC:DD:EE:46,OliveGarden_0,28.54211,-81.379039,"Orlando, Florida, United States"
1 Red Lobster Way Orlando FL,AA:BB:CC:DD:EE:47,RedLobster_0,28.54211,-81.379039,"Orlando, Florida, United States"
1 Outback Way Tampa FL,AA:BB:CC:DD:EE:48,Outback_0,28.560591,-82.319854,"Outback Way, Brooksville, Florida 34601, United States"
1 Texas Roadhouse Way Louisville KY,AA:BB:CC:DD:EE:49,TexasRoadhouse_0,38.217245,-85.743848,"1 Texas Avenue, Louisville, Kentucky 40217, United States"
1 LongHorn Way Orlando FL,AA:BB:CC:DD:EE:4A,LongHorn_0,28.320728,-81.413279,"Longhorn Court, Kissimmee, Florida 34741, United States"
1 Cracker Barrel Way Lebanon TN,AA:BB:CC:DD:EE:4B,CrackerBarrel_0,36.207951,-86.2909,"Lebanon, Tennessee, United States"
1 Bob Evans Way Columbus OH,AA:BB:CC:DD:EE:4C,BobEvans_0,39.962232,-83.000642,"Columbus, Ohio, United States"
1 Dennys Way Spartanburg SC,AA:BB:CC:DD:EE:4D,Dennys_0,34.949572,-81.931681,"Spartanburg, South Carolina, United States"
1 IHOP Way Glendale CA,AA:BB:CC:DD:EE:4E,IHOP_0,34.146288,-118.254947,"Glendale, California, United States"
1 Waffle House Way Norcross GA,AA:BB:CC:DD:EE:4F,WaffleHouse_0,33.941137,-84.211514,"Norcross, Georgia, United States"
1 Perkins Way Memphis TN,AA:BB:CC:DD:EE:50,Perkins_0,35.777972,-84.119115,"Perkins Way, Friendsville, Tennessee 37737, United States"
1 Village Inn Way Denver CO,AA:BB:CC:DD:EE:51,VillageInn_0,39.741681,-104.986109,"Denver, Colorado, United States"
1 Shoneys Way Nashville TN,AA:BB:CC:DD:EE:52,Shoneys_0,36.164518,-86.781073,"Nashville, Tennessee, United States"
1 Golden Corral Way Raleigh NC,AA:BB:CC:DD:EE:53,GoldenCorral_0,35.779557,-78.638148,"Raleigh, North Carolina, United States"
1 Ryans Way Greer SC,AA:BB:CC:DD:EE:54,Ryans_0,43.44312,-76.4886,"1 Ryan's Way, Oswego, New York 13126, United States"
1 Hometown Buffet Way San Diego CA,AA:BB:CC:DD:EE:55,Hometown_0,32.713623,-117.16016,"San Diego, California, United States"
1 Sizzler Way Mission Viejo CA,AA:BB:CC:DD:EE:56,Sizzler_0,32.836784,-116.981972,"Mission Viejo Court, Santee, California 92071, United States"
1 Ponderosa Way Dayton OH,AA:BB:CC:DD:EE:57,Ponderosa_0,39.758781,-84.19637,"Dayton, Ohio, United States"
1 Bonanza Way Dallas TX,AA:BB:CC:DD:EE:58,Bonanza_0,32.722346,-96.8977,"Bonanza Lane, Dallas, Texas 75211, United States"
1 Lubys Way Houston TX,AA:BB:CC:DD:EE:59,Lubys_0,30.542237,-95.479229,"Rubys Way, New Waverly, Texas 77358, United States"
1 Furrs Way Albuquerque NM,AA:BB:CC:DD:EE:5A,Furrs_0,35.088192,-106.650945,"Albuquerque, New Mexico, United States"
1 Piccadilly Way Baton Rouge LA,AA:BB:CC:DD:EE:5B,Piccadilly_0,30.447224,-91.186948,"Baton Rouge, Louisiana, United States"
1 K&W Way Winston-Salem NC,AA:BB:CC:DD:EE:5C,KW_0,36.098406,-80.244912,"Winston-Salem, North Carolina, United States"
1 Morrisons Way Mobile AL,AA:BB:CC:DD:EE:5D,Morrisons_0,30.689752,-88.042148,"Mobile, Alabama, United States"
1 MCL Way Indianapolis IN,AA:BB:CC:DD:EE:5E,MCL_0,50.90814,-1.50213,"1 Mill Way, Totton, Southampton, SO40 7JF, United Kingdom"
1 Souplantation Way San Diego CA,AA:BB:CC:DD:EE:5F,Souplantation_0,32.713623,-117.16016,"San Diego, California, United States"
1 Sweet Tomatoes Way Lakewood CO,AA:BB:CC:DD:EE:60,SweetTomatoes_0,39.708706,-105.086267,"Lakewood, Colorado, United States"
1 Cici's Pizza Way Coppell TX,AA:BB:CC:DD:EE:61,Cicis_0,32.971074,-96.993606,"Coppell, Texas, United States"
1 Chuck E Cheese Way Irving TX,AA:BB:CC:DD:EE:62,ChuckECheese_0,32.82938,-96.944127,"Irving, Texas, United States"
1 Dave and Busters Way Dallas TX,AA:BB:CC:DD:EE:63,DaveAndBusters_0,32.781339,-96.799759,"Dallas, Texas, United States"
1 Main Event Way Dallas TX,AA:BB:CC:DD:EE:64,MainEvent_0,32.781339,-96.799759,"Dallas, Texas, United States"
1600 Pennsylvania Avenue NW Washington DC,AA:BB:CC:DD:EE:65,WhiteHouse_1,38.897684,-77.036574,"1600 Pennsylvania Avenue Northwest, Washington, District of Columbia 20500, United States"
350 Fifth Avenue New York NY,AA:BB:CC:DD:EE:66,Empire_1,40.672196,-73.984612,"350 Fifth Avenue, Brooklyn, New York 11215, United States"
1 Infinite Loop Cupertino CA,AA:BB:CC:DD:EE:67,Apple_1,37.331522,-122.03023,"1 Infinite Loop, Cupertino, California 95014, United States"
1 Microsoft Way Redmond WA,AA:BB:CC:DD:EE:68,Microsoft_1,47.640606,-122.127912,"1 NE One Microsoft Way, Redmond, Washington 98052, United States"
1 Hacker Way Menlo Park CA,AA:BB:CC:DD:EE:69,Facebook_1,37.485134,-122.148712,"1 Hacker Way, Menlo Park, California 94025, United States"
1901 S Bell Ave Chicago IL,AA:BB:CC:DD:EE:6A,Google_1,41.864169,-87.688184,"1901 South Campbell Avenue, Chicago, Illinois 60612, United States"
410 Terry Ave N Seattle WA,AA:BB:CC:DD:EE:6B,Amazon_1,47.62231,-122.336748,"410 Terry Avenue North, Seattle, Washington 98109, United States"
1 Tesla Road Austin TX,AA:BB:CC:DD:EE:6C,Tesla_1,30.222695,-97.618788,"1 Tesla Road, Austin, Texas 78725, United States"
1 Apple Park Way Cupertino CA,AA:BB:CC:DD:EE:6D,ApplePark_1,37.33484,-122.0113,"1 Apple Park Way, Cupertino, California 95014, United States"
500 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:6E,Oracle_1,37.530685,-122.262431,"500 Oracle Parkway, Redwood City, California 94065, United States"
100 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:6F,Oracle2_1,37.529394,-122.265808,"100 Oracle Parkway, Redwood City, California 94070, United States"
200 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:70,Oracle3_1,37.53074,-122.26557,"200 Oracle Parkway, Redwood City, California 94065, United States"
300 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:71,Oracle4_1,37.531192,-122.264645,"300 Oracle Parkway, Redwood City, California 94065, United States"
400 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:72,Oracle5_1,37.530844,-122.263484,"400 Oracle Parkway, Redwood City, California 94065, United States"
600 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:73,Oracle6_1,37.52981,-122.26198,"600 Oracle Parkway, Redwood City, California 94065, United States"
700 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:74,Oracle7_1,37.530014,-122.260626,"700 Oracle Parkway, Redwood City, California 94065, United States"
800 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:75,Oracle8_1,37.529531,-122.260512,"800 Oracle Parkway, Redwood City, California 94065, United States"
900 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:76,Oracle9_1,37.529173,-122.260178,"900 Oracle Parkway, Redwood City, California 94065, United States"
1000 Oracle Parkway Redwood City CA,AA:BB:CC:DD:EE:77,Oracle10_1,37.528699,-122.260069,"1000 Oracle Parkway, Redwood City, California 94065, United States"
1 CNN Center Atlanta GA,AA:BB:CC:DD:EE:78,CNN_1,33.757489,-84.394522,"1 Cnn Ctr NW, Atlanta, Georgia 30303, United States"
30 Rockefeller Plaza New York NY,AA:BB:CC:DD:EE:79,NBC_1,40.759281,-73.979808,"30 Rockefeller Plaza, New York, New York 10112, United States"
77 W 66th St New York NY,AA:BB:CC:DD:EE:7A,ABC_1,40.773437,-73.980607,"77 West 66th Street, New York, New York 10023, United States"
51 W 52nd St New York NY,AA:BB:CC:DD:EE:7B,CBS_1,40.761169,-73.978812,"51 West 52nd Street, New York, New York 10019, United States"
1211 Avenue of the Americas New York NY,AA:BB:CC:DD:EE:7C,Fox_1,40.758599,-73.982236,"1211 Sixth Avenue, New York, New York 10022, United States"
1 Time Warner Center New York NY,AA:BB:CC:DD:EE:7D,TimeWarner_1,40.767972,-73.982924,"1 Time Warner Ctr, New York, New York 10019, United States"
1 AT&T Plaza Dallas TX,AA:BB:CC:DD:EE:7E,ATT_1,32.781339,-96.799759,"Dallas, Texas, United States"
1095 Avenue of the Americas New York NY,AA:BB:CC:DD:EE:7F,Verizon_1,40.75466,-73.984732,"1095 Sixth Avenue, New York, New York 10036, United States"
600 New Jersey Ave NW Washington DC,AA:BB:CC:DD:EE:80,Sprint_1,38.89784,-77.0126,"600 New Jersey Avenue Northwest, Washington, District of Columbia 20001, United States"
6200 Sprint Pkwy Overland Park KS,AA:BB:CC:DD:EE:81,SprintHQ_1,38.915579,-94.658709,"6200 Sprint Pkwy, Overland Park, Kansas 66211, United States"
1 Coca Cola Plaza Atlanta GA,AA:BB:CC:DD:EE:82,CocaCola_1,33.771079,-84.396874,"1 Coca Cola Plz NW, Atlanta, Georgia 30313, United States"
1 Pepsi Way Purchase NY,AA:BB:CC:DD:EE:83,Pepsi_1,41.511772,-74.052587,"1 Pepsi Way, Newburgh, New York 12550, United States"
1 Dr Pepper Way Plano TX,AA:BB:CC:DD:EE:84,DrPepper_1,33.019677,-96.699236,"Plano, Texas, United States"
1 Monster Way Corona CA,AA:BB:CC:DD:EE:85,Monster_1,33.886641,-117.513232,"1 Monster Way, Corona, California 92879, United States"
1 Red Bull Way Santa Monica CA,AA:BB:CC:DD:EE:86,RedBull_1,37.754446,-121.371036,"Banta, California, United States"
1 Starbucks Way Seattle WA,AA:BB:CC:DD:EE:87,Starbucks_1,46.519321,-118.12762,"Starbuck, Washington, United States"
1 Dunkin Way Canton MA,AA:BB:CC:DD:EE:88,Dunkin_1,44.023054,-70.657049,"1 Dunkin Way, Bridgton, Maine 04009, United States"
1 McDonalds Plaza Oak Brook IL,AA:BB:CC:DD:EE:89,McDonalds_1,41.832871,-87.928694,"Oak Brook, Illinois, United States"
1 Burger King Way Miami FL,AA:BB:CC:DD:EE:8A,BurgerKing_1,25.773357,-80.1919,"Miami, Florida, United States"
1 Wendys Way Dublin OH,AA:BB:CC:DD:EE:8B,Wendys_1,39.642213,-84.237621,"1 Wendy Way, West Carrollton, Ohio 45449, United States"
1 Taco Bell Way Irvine CA,AA:BB:CC:DD:EE:8C,TacoBell_1,33.684617,-117.82634,"Irvine, California, United States"
1 KFC Way Louisville KY,AA:BB:CC:DD:EE:8D,KFC_1,38.253246,-85.758804,"Louisville, Kentucky, United States"
1 Pizza Hut Way Plano TX,AA:BB:CC:DD:EE:8E,PizzaHut_1,33.019677,-96.699236,"Plano, Texas, United States"
1 Dominos Way Ann Arbor MI,AA:BB:CC:DD:EE:8F,Dominos_1,42.281424,-83.748499,"Ann Arbor, Michigan, United States"
1 Papa Johns Way Louisville KY,AA:BB:CC:DD:EE:90,PapaJohns_1,38.253246,-85.758804,"Louisville, Kentucky, United States"
1 Subway Way Milford CT,AA:BB:CC:DD:EE:91,Subway_1,41.222399,-73.056719,"Milford, Connecticut, United States"
1 Chipotle Way Newport Beach CA,AA:BB:CC:DD:EE:92,Chipotle_1,33.617991,-117.930145,"Newport Beach, California, United States"
1 Panera Way St Louis MO,AA:BB:CC:DD:EE:93,Panera_1,38.627464,-90.19835,"St. Louis, Missouri, United States"
1 Chick-fil-A Way Atlanta GA,AA:BB:CC:DD:EE:94,ChickfilA_1,33.750801,-84.389855,"Atlanta, Georgia, United States"
1 In-N-Out Way Irvine CA,AA:BB:CC:DD:EE:95,InNOut_1,33.684617,-117.82634,"Irvine, California, United States"
1 Five Guys Way Lorton VA,AA:BB:CC:DD:EE:96,FiveGuys_1,38.704564,-77.219518,"Lorton, Virginia, United States"
1 Shake Shack Way New York NY,AA:BB:CC:DD:EE:97,ShakeShack_1,40.712749,-74.005994,"New York, New York, United States"
1 White Castle Way Columbus OH,AA:BB:CC:DD:EE:98,WhiteCastle_1,39.962232,-83.000642,"Columbus, Ohio, United States"
1 Sonic Way Oklahoma City OK,AA:BB:CC:DD:EE:99,Sonic_1,35.46883,-97.517981,"Oklahoma City, Oklahoma, United States"
1 Arbys Way Atlanta GA,AA:BB:CC:DD:EE:9A,Arbys_1,33.750801,-84.389855,"Atlanta, Georgia, United States"
1 Jack in the Box Way San Diego CA,AA:BB:CC:DD:EE:9B,JackBox_1,32.713623,-117.16016,"San Diego, California, United States"
1 Carl's Jr Way Anaheim CA,AA:BB:CC:DD:EE:9C,CarlsJr_1,33.833337,-117.913192,"Anaheim, California, United States"
1 Hardees Way Rocky Mount NC,AA:BB:CC:DD:EE:9D,Hardees_1,35.939026,-77.800244,"Rocky Mount, North Carolina, United States"
1 Popeyes Way Miami FL,AA:BB:CC:DD:EE:9E,Popeyes_1,25.773357,-80.1919,"Miami, Florida, United States"
1 Bojangles Way Charlotte NC,AA:BB:CC:DD:EE:9F,Bojangles_1,35.227207,-80.84309,"Charlotte, North Carolina, United States"
1 Zaxbys Way Athens GA,AA:BB:CC:DD:EE:A0,Zaxbys_1,33.87319,-83.47376,"Way, Watkinsville, Georgia 30677, United States"
1 Raising Canes Way Baton Rouge LA,AA:BB:CC:DD:EE:A1,RaisingCanes_1,30.447224,-91.186948,"Baton Rouge, Louisiana, United States"
1 Wingstop Way Dallas TX,AA:BB:CC:DD:EE:A2,Wingstop_1,32.781339,-96.799759,"Dallas, Texas, United States"
1 Buffalo Wild Wings Way Minneapolis MN,AA:BB:CC:DD:EE:A3,BWW_1,44.976106,-93.266096,"Minneapolis, Minnesota, United States"
1 Hooters Way Clearwater FL,AA:BB:CC:DD:EE:A4,Hooters_1,27.962345,-82.801662,"Clearwater, Florida, United States"
1 Twin Peaks Way Dallas TX,AA:BB:CC:DD:EE:A5,TwinPeaks_1,32.781339,-96.799759,"Dallas, Texas, United States"
1 Tilted Kilt Way Tempe AZ,AA:BB:CC:DD:EE:A6,TiltedKilt_1,33.425508,-111.939965,"Tempe, Arizona, United States"
1 Applebees Way Glendale CA,AA:BB:CC:DD:EE:A7,Applebees_1,34.146288,-118.254947,"Glendale, California, United States"
1 Chilis Way Dallas TX,AA:BB:CC:DD:EE:A8,Chilis_1,32.781339,-96.799759,"Dallas, Texas, United States"
1 TGI Fridays Way Dallas TX,AA:BB:CC:DD:EE:A9,Fridays_1,32.923282,-96.750161,"Ti Boulevard, Dallas, Texas 75243, United States"
1 Olive Garden Way Orlando FL,AA:BB:CC:DD:EE:AA,OliveGarden_1,28.54211,-81.379039,"Orlando, Florida, United States"
1 Red Lobster Way Orlando FL,AA:BB:CC:DD:EE:AB,RedLobster_1,28.54211,-81.379039,"Orlando, Florida, United States"
1 Outback Way Tampa FL,AA:BB:CC:DD:EE:AC,Outback_1,28.560591,-82.319854,"Outback Way, Brooksville, Florida 34601, United States"
1 Texas Roadhouse Way Louisville KY,AA:BB:CC:DD:EE:AD,TexasRoadhouse_1,38.217245,-85.743848,"1 Texas Avenue, Louisville, Kentucky 40217, United States"
1 LongHorn Way Orlando FL,AA:BB:CC:DD:EE:AE,LongHorn_1,28.320728,-81.413279,"Longhorn Court, Kissimmee, Florida 34741, United States"
1 Cracker Barrel Way Lebanon TN,AA:BB:CC:DD:EE:AF,CrackerBarrel_1,36.207951,-86.2909,"Lebanon, Tennessee, United States"
1 Bob Evans Way Columbus OH,AA:BB:CC:DD:EE:B0,BobEvans_1,39.962232,-83.000642,"Columbus, Ohio, United States"
1 Dennys Way Spartanburg SC,AA:BB:CC:DD:EE:B1,Dennys_1,34.949572,-81.931681,"Spartanburg, South Carolina, United States"
1 IHOP Way Glendale CA,AA:BB:CC:DD:EE:B2,IHOP_1,34.146288,-118.254947,"Glendale, California, United States"
1 Waffle House Way Norcross GA,AA:BB:CC:DD:EE:B3,WaffleHouse_1,33.941137,-84.211514,"Norcross, Georgia, United States"
1 Perkins Way Memphis TN,AA:BB:CC:DD:EE:B4,Perkins_1,35.777972,-84.119115,"Perkins Way, Friendsville, Tennessee 37737, United States"
1 Village Inn Way Denver CO,AA:BB:CC:DD:EE:B5,VillageInn_1,39.741681,-104.986109,"Denver, Colorado, United States"
1 Shoneys Way Nashville TN,AA:BB:CC:DD:EE:B6,Shoneys_1,36.164518,-86.781073,"Nashville, Tennessee, United States"
1 Golden Corral Way Raleigh NC,AA:BB:CC:DD:EE:B7,GoldenCorral_1,35.779557,-78.638148,"Raleigh, North Carolina, United States"
1 Ryans Way Greer SC,AA:BB:CC:DD:EE:B8,Ryans_1,43.44312,-76.4886,"1 Ryan's Way, Oswego, New York 13126, United States"
1 Hometown Buffet Way San Diego CA,AA:BB:CC:DD:EE:B9,Hometown_1,32.713623,-117.16016,"San Diego, California, United States"
1 Sizzler Way Mission Viejo CA,AA:BB:CC:DD:EE:BA,Sizzler_1,32.836784,-116.981972,"Mission Viejo Court, Santee, California 92071, United States"
1 Ponderosa Way Dayton OH,AA:BB:CC:DD:EE:BB,Ponderosa_1,39.758781,-84.19637,"Dayton, Ohio, United States"
1 Bonanza Way Dallas TX,AA:BB:CC:DD:EE:BC,Bonanza_1,32.722346,-96.8977,"Bonanza Lane, Dallas, Texas 75211, United States"
1 Lubys Way Houston TX,AA:BB:CC:DD:EE:BD,Lubys_1,30.542237,-95.479229,"Rubys Way, New Waverly, Texas 77358, United States"
