FILE | Lines % | Branches % | Functions % | VERDICT
scripts/geocoding/geocode-batch.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/geocode-wigle.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/import-ap-addresses.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/import-final-geocodes.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/import-geocodes.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/import-missing-geocodes.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/import-network-addresses.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/reverse-geocode-batch.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/reverse-geocode-observations-sample.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/reverse-geocode-parallel.ts | 0% | 0% | 0% | UNCOVERED
scripts/geocoding/reverse-geocode-smart.ts | 0% | 0% | 0% | UNCOVERED
scripts/import/import-wigle-parallel.ts | 0% | 0% | 0% | UNCOVERED
scripts/loadEnv.ts | 0% | 100% | 100% | UNCOVERED
scripts/manual-ingest.js | 0% | 0% | 0% | UNCOVERED
scripts/manual/run-geocoding-sample.ts | 0% | 0% | 0% | UNCOVERED
scripts/ml/ml-logistic-regression.d.ts | 100% | 100% | 100% | COVERED
scripts/ml/ml-trainer.ts | 0% | 0% | 0% | UNCOVERED
scripts/rebuild-networks-precision.ts | 0% | 0% | 0% | UNCOVERED
scripts/run-migration.ts | 0% | 0% | 0% | UNCOVERED
scripts/score-all-hybrid.ts | 0% | 0% | 0% | UNCOVERED
scripts/set-home.ts | 0% | 0% | 0% | UNCOVERED
scripts/test-smarty-us-street.ts | 0% | 0% | 0% | UNCOVERED
scripts/trigger-report.js | 0% | 0% | 0% | UNCOVERED
scripts/wigle-daemon.ts | 0% | 0% | 0% | UNCOVERED
scripts/write-robots.js | 0% | 0% | 100% | UNCOVERED
scripts/write-robots.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin.ts | 79.56% | 66.66% | 25% | UNCOVERED
server/src/api/routes/v1/admin/adminAwsHelpers.ts | 28.12% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/adminGeocodingHelpers.ts | 94.44% | 64.4% | 84.61% | PARTIAL
server/src/api/routes/v1/admin/adminNotesHelpers.ts | 53.73% | 27.65% | 57.14% | PARTIAL
server/src/api/routes/v1/admin/adminSecretsHelpers.ts | 50% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/aws.ts | 25% | 11.11% | 0% | UNCOVERED
server/src/api/routes/v1/admin/awsInstances.ts | 20% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/backup.ts | 27.77% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/dbStats.ts | 64.28% | 85.71% | 50% | PARTIAL
server/src/api/routes/v1/admin/geocoding.ts | 22.72% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/import.ts | 100% | 50% | 100% | PARTIAL
server/src/api/routes/v1/admin/import/history.js | 70% | 50% | 75% | PARTIAL
server/src/api/routes/v1/admin/import/kml.js | 98.48% | 80% | 62.5% | PARTIAL
server/src/api/routes/v1/admin/import/orphans.js | 90% | 100% | 100% | PARTIAL
server/src/api/routes/v1/admin/import/sql.js | 97.91% | 80% | 66.66% | PARTIAL
server/src/api/routes/v1/admin/import/sqlite.js | 100% | 83.33% | 66.66% | PARTIAL
server/src/api/routes/v1/admin/maintenance.ts | 64% | 100% | 50% | PARTIAL
server/src/api/routes/v1/admin/media.ts | 26.47% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/notes.ts | 23.52% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/oui.ts | 33.33% | 100% | 0% | UNCOVERED
server/src/api/routes/v1/admin/pgadmin.ts | 28.2% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/secrets.ts | 41.37% | 46.15% | 25% | UNCOVERED
server/src/api/routes/v1/admin/settings.ts | 82.92% | 79.66% | 88.23% | PARTIAL
server/src/api/routes/v1/admin/siblings.ts | 20.33% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/tags.ts | 16.41% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/admin/users.ts | 22.03% | 0% | 20% | UNCOVERED
server/src/api/routes/v1/agencyOffices.ts | 77.77% | 100% | 100% | PARTIAL
server/src/api/routes/v1/analytics-public.ts | 80% | 33.33% | 100% | PARTIAL
server/src/api/routes/v1/analytics.ts | 98.55% | 62.5% | 100% | PARTIAL
server/src/api/routes/v1/auth.ts | 59.32% | 35.71% | 75% | PARTIAL
server/src/api/routes/v1/backup.ts | 92.85% | 60% | 100% | PARTIAL
server/src/api/routes/v1/claude.ts | 98.03% | 79.16% | 100% | PARTIAL
server/src/api/routes/v1/dashboard.ts | 63.76% | 70.65% | 100% | PARTIAL
server/src/api/routes/v1/dataQuality.ts | 37.03% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/deflockCameras.ts | 0% | 100% | 0% | UNCOVERED
server/src/api/routes/v1/explorer.ts | 0% | 100% | 100% | UNCOVERED
server/src/api/routes/v1/explorer/index.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v1/explorer/networks.ts | 75.75% | 60.71% | 100% | PARTIAL
server/src/api/routes/v1/explorer/shared.ts | 46.46% | 53.37% | 80% | UNCOVERED
server/src/api/routes/v1/export.ts | 100% | 68.75% | 100% | PARTIAL
server/src/api/routes/v1/federalCourthouses.ts | 0% | 100% | 0% | UNCOVERED
server/src/api/routes/v1/geocoding.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/geospatial.ts | 50.83% | 28.57% | 38.46% | PARTIAL
server/src/api/routes/v1/health.ts | 86.11% | 66.66% | 69.23% | PARTIAL
server/src/api/routes/v1/home-location.ts | 90.62% | 86.36% | 100% | PARTIAL
server/src/api/routes/v1/kepler.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/keplerHelpers.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/location-markers.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/ml.ts | 46.29% | 46.15% | 44.44% | UNCOVERED
server/src/api/routes/v1/mobileIngest.ts | 73.41% | 66.66% | 100% | PARTIAL
server/src/api/routes/v1/network-agencies.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/network-tags.ts | 0% | 100% | 100% | UNCOVERED
server/src/api/routes/v1/network-tags/index.ts | 0% | 100% | 100% | UNCOVERED
server/src/api/routes/v1/network-tags/listTags.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/network-tags/manageTags.ts | 87.36% | 90.56% | 100% | PARTIAL
server/src/api/routes/v1/networks.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v1/networks/index.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v1/networks/list.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v1/networks/list/handler.ts | 91.66% | 50% | 100% | PARTIAL
server/src/api/routes/v1/networks/list/index.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v1/networks/list/parseParams.ts | 84.61% | 75% | 100% | PARTIAL
server/src/api/routes/v1/networks/list/parsers/networkIdentity.ts | 52.17% | 20.93% | 40% | PARTIAL
server/src/api/routes/v1/networks/list/parsers/pagination.ts | 92.3% | 75% | 100% | PARTIAL
server/src/api/routes/v1/networks/list/parsers/signalFilters.ts | 65.38% | 37.5% | 100% | PARTIAL
server/src/api/routes/v1/networks/list/parsers/spatialFilters.ts | 84.21% | 81.81% | 100% | PARTIAL
server/src/api/routes/v1/networks/list/parsers/threatFilters.ts | 44.11% | 14.28% | 50% | UNCOVERED
server/src/api/routes/v1/networks/manufacturer.ts | 34.09% | 26.08% | 16.66% | UNCOVERED
server/src/api/routes/v1/networks/notes.ts | 51.06% | 33.33% | 50% | PARTIAL
server/src/api/routes/v1/networks/observations.ts | 47.43% | 29.54% | 85.71% | UNCOVERED
server/src/api/routes/v1/networks/search.ts | 85.71% | 78.94% | 50% | PARTIAL
server/src/api/routes/v1/networks/tags.ts | 18.88% | 10.52% | 14.28% | UNCOVERED
server/src/api/routes/v1/settings.ts | 75.67% | 66.66% | 66.66% | PARTIAL
server/src/api/routes/v1/settingsHelpers.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/settingsMultiSecretRoutes.ts | 80.8% | 61.7% | 100% | PARTIAL
server/src/api/routes/v1/settingsSecretRoutes.ts | 89.65% | 70% | 100% | PARTIAL
server/src/api/routes/v1/shotspotterSensors.ts | 0% | 100% | 0% | UNCOVERED
server/src/api/routes/v1/shotspotterZones.ts | 45.45% | 100% | 0% | UNCOVERED
server/src/api/routes/v1/threat-report.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/threats.ts | 78.78% | 83.33% | 50% | PARTIAL
server/src/api/routes/v1/wigle.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/wigle/database.ts | 67.62% | 58.2% | 50% | PARTIAL
server/src/api/routes/v1/wigle/detail.ts | 50% | 38.09% | 50% | PARTIAL
server/src/api/routes/v1/wigle/enrichment.ts | 79.31% | 80% | 80% | PARTIAL
server/src/api/routes/v1/wigle/index.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/wigle/ledger.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/wigle/live.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/wigle/observations.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v1/wigle/search.ts | 38.37% | 47.82% | 41.17% | UNCOVERED
server/src/api/routes/v1/wigle/stats.ts | 79.16% | 58.82% | 100% | PARTIAL
server/src/api/routes/v1/wigle/status.ts | 100% | 88.88% | 100% | PARTIAL
server/src/api/routes/v1/wigle/validation.ts | 50% | 100% | 0% | UNCOVERED
server/src/api/routes/v2/filtered.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v2/filtered/handlers/analytics.ts | 88.23% | 33.33% | 100% | PARTIAL
server/src/api/routes/v2/filtered/handlers/geospatial.ts | 22.58% | 0% | 33.33% | UNCOVERED
server/src/api/routes/v2/filtered/handlers/list.ts | 12.72% | 0% | 14.28% | UNCOVERED
server/src/api/routes/v2/filtered/handlers/observations.ts | 25.64% | 0% | 40% | UNCOVERED
server/src/api/routes/v2/filtered/index.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v2/filtered/observationsBuilder.ts | 26.08% | 0% | 0% | UNCOVERED
server/src/api/routes/v2/filtered/types.ts | 0% | 100% | 100% | UNCOVERED
server/src/api/routes/v2/filtered/utils.ts | 44.82% | 4.54% | 20% | UNCOVERED
server/src/api/routes/v2/filteredHandlers.ts | 100% | 100% | 100% | COVERED
server/src/api/routes/v2/filteredHelpers.ts | 56.32% | 18.84% | 78.57% | PARTIAL
server/src/api/routes/v2/networks.ts | 0% | 0% | 0% | UNCOVERED
server/src/api/routes/v2/threats.ts | 0% | 0% | 0% | UNCOVERED
server/src/config/container.ts | 100% | 100% | 100% | COVERED
server/src/config/database.ts | 73.33% | 58.82% | 20% | UNCOVERED
server/src/config/loadEnv.ts | 92.3% | 81.81% | 100% | PARTIAL
server/src/config/routeConfig.ts | 100% | 100% | 100% | COVERED
server/src/core/initialization/appInit.ts | 100% | 85.71% | 100% | PARTIAL
server/src/core/initialization/backgroundJobsInit.ts | 100% | 100% | 100% | COVERED
server/src/core/initialization/credentialsInit.ts | 88.88% | 100% | 50% | PARTIAL
server/src/core/initialization/dashboardInit.ts | 100% | 100% | 100% | COVERED
server/src/core/initialization/databaseInit.ts | 100% | 100% | 100% | COVERED
server/src/core/initialization/errorHandlingInit.ts | 100% | 100% | 100% | COVERED
server/src/core/initialization/middlewareInit.ts | 100% | 100% | 100% | COVERED
server/src/core/initialization/routesInit.ts | 100% | 100% | 100% | COVERED
server/src/errors/AppError.ts | 100% | 93.33% | 92.85% | PARTIAL
server/src/errors/errorHandler.ts | 100% | 80% | 100% | PARTIAL
server/src/logging/logger.ts | 71.42% | 71.73% | 36.36% | PARTIAL
server/src/middleware/authMiddleware.ts | 100% | 100% | 100% | COVERED
server/src/middleware/cacheMiddleware.ts | 87.5% | 90.9% | 60% | PARTIAL
server/src/middleware/commonMiddleware.ts | 72.22% | 12.5% | 50% | PARTIAL
server/src/middleware/httpsRedirect.ts | 100% | 100% | 100% | COVERED
server/src/middleware/requestId.ts | 100% | 100% | 100% | COVERED
server/src/middleware/securityHeaders.ts | 100% | 100% | 100% | COVERED
server/src/middleware/spaFallback.ts | 100% | 100% | 100% | COVERED
server/src/middleware/staticAssets.ts | 0% | 0% | 0% | UNCOVERED
server/src/repositories/adminNetworkMediaRepository.ts | 36.95% | 0% | 0% | UNCOVERED
server/src/repositories/adminNetworkTagOuiRepository.ts | 41.66% | 0% | 0% | UNCOVERED
server/src/repositories/adminNetworkTagRepository.ts | 39.62% | 0% | 0% | UNCOVERED
server/src/repositories/agencyRepository.ts | 66.66% | 16.66% | 40% | PARTIAL
server/src/repositories/baseRepository.ts | 89.83% | 51.42% | 100% | PARTIAL
server/src/repositories/courthouseRepository.ts | 100% | 100% | 100% | COVERED
server/src/repositories/deflockRepository.ts | 50% | 0% | 0% | UNCOVERED
server/src/repositories/exportRepository.ts | 38.23% | 0% | 0% | UNCOVERED
server/src/repositories/jobRunRepository.ts | 27.02% | 4.16% | 33.33% | UNCOVERED
server/src/repositories/keplerRepository.ts | 100% | 100% | 100% | COVERED
server/src/repositories/mobileIngestRepository.ts | 85.36% | 50% | 92.3% | PARTIAL
server/src/repositories/networkRepository.ts | 58.13% | 71.21% | 57.14% | PARTIAL
server/src/repositories/shotspotterRepository.ts | 50% | 0% | 0% | UNCOVERED
server/src/repositories/shotspotterSensorsRepository.ts | 50% | 0% | 0% | UNCOVERED
server/src/repositories/surveillanceDetectionRepository.ts | 32.25% | 0% | 0% | UNCOVERED
server/src/repositories/threatRepository.ts | 86.66% | 57.44% | 100% | PARTIAL
server/src/repositories/v2Repository.ts | 72% | 79.71% | 69.23% | PARTIAL
server/src/repositories/wigleEnrichmentRepository.ts | 95.65% | 91.3% | 93.33% | PARTIAL
server/src/repositories/wiglePersistenceRepository.ts | 85.29% | 72.05% | 50% | PARTIAL
server/src/repositories/wigleQueriesRepository.ts | 94.94% | 65.85% | 86.36% | PARTIAL
server/src/services/admin/adminHelpers.ts | 66.29% | 68.05% | 58.33% | PARTIAL
server/src/services/admin/dataQualityAdminService.ts | 100% | 100% | 100% | COVERED
server/src/services/admin/importExportAdminService.ts | 100% | 100% | 100% | COVERED
server/src/services/admin/importService.ts | 35.71% | 0% | 0% | UNCOVERED
server/src/services/admin/networkNotesAdminService.ts | 100% | 100% | 100% | COVERED
server/src/services/admin/networkTagCore.ts | 100% | 87.5% | 100% | PARTIAL
server/src/services/admin/networkTagOui.ts | 100% | 87.5% | 100% | PARTIAL
server/src/services/admin/networkTagsAdminService.ts | 100% | 93.33% | 100% | COVERED
server/src/services/admin/settingsAdminService.ts | 100% | 100% | 100% | COVERED
server/src/services/admin/siblingDetectionAdminService.ts | 94.82% | 85.18% | 87.5% | PARTIAL
server/src/services/admin/siblingDetectionQueries.ts | 100% | 100% | 100% | COVERED
server/src/services/admin/siblingDetectionState.ts | 100% | 84.61% | 100% | PARTIAL
server/src/services/adminDbService.ts | 76.92% | 60.46% | 60% | PARTIAL
server/src/services/adminDbStatsService.ts | 100% | 100% | 100% | COVERED
server/src/services/adminImportHistoryService.ts | 100% | 100% | 100% | COVERED
server/src/services/adminMaintenanceService.ts | 100% | 100% | 100% | COVERED
server/src/services/adminNetworkMediaService.ts | 100% | 100% | 100% | COVERED
server/src/services/adminNetworkTagsService.ts | 100% | 100% | 100% | COVERED
server/src/services/adminOrphanNetworksService.ts | 98.64% | 90.24% | 100% | PARTIAL
server/src/services/adminSettingsService.ts | 100% | 100% | 100% | COVERED
server/src/services/adminSiblingService.ts | 100% | 100% | 100% | COVERED
server/src/services/adminUsersService.ts | 100% | 92.85% | 100% | COVERED
server/src/services/agencyService.ts | 100% | 100% | 100% | COVERED
server/src/services/aiInsightsService.ts | 100% | 80% | 100% | PARTIAL
server/src/services/analytics/coreAnalytics.ts | 100% | 100% | 100% | COVERED
server/src/services/analytics/helpers.ts | 96.55% | 96.29% | 100% | PARTIAL
server/src/services/analytics/index.ts | 100% | 100% | 100% | COVERED
server/src/services/analytics/networkAnalytics.ts | 100% | 94.73% | 100% | COVERED
server/src/services/analytics/threatAnalytics.ts | 100% | 100% | 100% | COVERED
server/src/services/analyticsService.ts | 100% | 100% | 100% | COVERED
server/src/services/authQueries.ts | 100% | 100% | 100% | COVERED
server/src/services/authService.ts | 98.76% | 95.23% | 100% | PARTIAL
server/src/services/authWrites.ts | 100% | 94.73% | 100% | COVERED
server/src/services/awsService.ts | 80.48% | 55% | 100% | PARTIAL
server/src/services/backgroundJobs/config.ts | 100% | 83.33% | 100% | PARTIAL
server/src/services/backgroundJobs/mlBehavioralScoring.ts | 100% | 100% | 100% | COVERED
server/src/services/backgroundJobs/mvRefresh.ts | 100% | 100% | 100% | COVERED
server/src/services/backgroundJobs/runners.ts | 97.82% | 97.77% | 100% | PARTIAL
server/src/services/backgroundJobs/settings.ts | 100% | 100% | 100% | COVERED
server/src/services/backgroundJobs/surveillanceScoring.ts | 100% | 89.77% | 100% | PARTIAL
server/src/services/backgroundJobsService.ts | 77.5% | 60.34% | 41.66% | PARTIAL
server/src/services/backup/awsCli.ts | 100% | 86.95% | 100% | PARTIAL
server/src/services/backup/backupUtils.ts | 100% | 96.77% | 100% | COVERED
server/src/services/backup/config.ts | 0% | 0% | 0% | UNCOVERED
server/src/services/backup/fileManager.ts | 100% | 85.71% | 100% | PARTIAL
server/src/services/backup/pgEnv.ts | 0% | 0% | 0% | UNCOVERED
server/src/services/backup/pgTools.ts | 0% | 0% | 0% | UNCOVERED
server/src/services/backup/postgresToolchain.ts | 91.73% | 78.46% | 88.23% | PARTIAL
server/src/services/backup/s3Operations.ts | 100% | 92.3% | 100% | COVERED
server/src/services/backup/sourceDetector.ts | 95.83% | 76.19% | 100% | PARTIAL
server/src/services/backupService.ts | 98.3% | 80% | 100% | PARTIAL
server/src/services/bedrockService.ts | 100% | 83.33% | 100% | PARTIAL
server/src/services/cacheService.ts | 94.87% | 92% | 87.5% | PARTIAL
server/src/services/courthouseService.ts | 100% | 100% | 100% | COVERED
server/src/services/dashboardService.ts | 100% | 66.66% | 100% | PARTIAL
server/src/services/dataQualityFilters.ts | 100% | 100% | 100% | COVERED
server/src/services/deflockService.ts | 100% | 100% | 100% | COVERED
server/src/services/explorerQueries.ts | 100% | 64.28% | 100% | PARTIAL
server/src/services/explorerService.ts | 100% | 93.75% | 100% | COVERED
server/src/services/explorerSorting.ts | 100% | 91.66% | 100% | COVERED
server/src/services/exportService.ts | 97.91% | 93.33% | 100% | PARTIAL
server/src/services/externalServiceHandler.ts | 100% | 88.88% | 100% | PARTIAL
server/src/services/featureFlagService.ts | 96.77% | 89.28% | 100% | PARTIAL
server/src/services/filterQueryBuilder/FilterBuildContext.ts | 97.05% | 89.79% | 100% | PARTIAL
server/src/services/filterQueryBuilder/FilterPredicateBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/NetworkWhereBuildContext.ts | 0% | 100% | 100% | UNCOVERED
server/src/services/filterQueryBuilder/QueryState.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/SchemaCompat.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/SqlFragmentLibrary.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/builders/GeospatialQueryBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/builders/NetworkListQueryBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/builders/NetworkOnlyQueryBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/constants.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/engagementPredicates.ts | 100% | 90.47% | 100% | COVERED
server/src/services/filterQueryBuilder/index.ts | 94.73% | 66.66% | 88.88% | PARTIAL
server/src/services/filterQueryBuilder/modules/AnalyticsModule.ts | 100% | 0% | 100% | PARTIAL
server/src/services/filterQueryBuilder/modules/GeospatialModule.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/NetworkModule.ts | 93.33% | 84.21% | 86.66% | PARTIAL
server/src/services/filterQueryBuilder/modules/ObservationModule.ts | 93.33% | 92.85% | 100% | PARTIAL
server/src/services/filterQueryBuilder/modules/analyticsQueryBuilders.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/analyticsQueryContext.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/geospatialQueryBuilders.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/geospatialQueryContext.ts | 100% | 87.5% | 100% | PARTIAL
server/src/services/filterQueryBuilder/modules/networkFastPathBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkFastPathCountBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkFastPathIdentityPredicates.ts | 100% | 91.93% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkFastPathListBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkFastPathPredicateTypes.ts | 0% | 100% | 100% | UNCOVERED
server/src/services/filterQueryBuilder/modules/networkFastPathPredicates.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkFastPathSecurityPredicates.ts | 95.38% | 86.04% | 100% | PARTIAL
server/src/services/filterQueryBuilder/modules/networkFastPathSupplementalPredicates.ts | 96.68% | 92.34% | 100% | PARTIAL
server/src/services/filterQueryBuilder/modules/networkMetricsBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkNoFilterBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkPredicateAdapters.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/networkSlowPathBuilder.ts | 100% | 86.36% | 100% | PARTIAL
server/src/services/filterQueryBuilder/modules/observationFilterBuilder.ts | 100% | 100% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/observationIdentityPredicates.ts | 100% | 90% | 100% | COVERED
server/src/services/filterQueryBuilder/modules/observationSecurityTemporalPredicates.ts | 100% | 91.78% | 100% | COVERED
